year,month,day,avg_heat_index_celsius,city_name
2024,1,1,27,"Abucay"
2024,1,2,27,"Abucay"
2024,1,3,28,"Abucay"
2024,1,4,26,"Abucay"
2024,1,5,25,"Abucay"
2024,1,6,26,"Abucay"
2024,1,7,25,"Abucay"
2024,1,8,26,"Abucay"
2024,1,9,27,"Abucay"
2024,1,10,28,"Abucay"
2024,1,11,25,"Abucay"
2024,1,12,24,"Abucay"
2024,1,13,24,"Abucay"
2024,1,14,24,"Abucay"
2024,1,15,24,"Abucay"
2024,1,16,23,"Abucay"
2024,1,17,23,"Abucay"
2024,1,18,24,"Abucay"
2024,1,19,24,"Abucay"
2024,1,20,25,"Abucay"
2024,1,21,27,"Abucay"
2024,1,22,25,"Abucay"
2024,1,23,26,"Abucay"
2024,1,24,23,"Abucay"
2024,1,25,23,"Abucay"
2024,1,26,22,"Abucay"
2024,1,27,22,"Abucay"
2024,1,28,22,"Abucay"
2024,1,29,23,"Abucay"
2024,1,30,24,"Abucay"
2024,1,31,24,"Abucay"
2024,2,1,25,"Abucay"
2024,2,2,25,"Abucay"
2024,2,3,26,"Abucay"
2024,2,4,26,"Abucay"
2024,2,5,27,"Abucay"
2024,2,6,26,"Abucay"
2024,2,7,26,"Abucay"
2024,2,8,27,"Abucay"
2024,2,9,26,"Abucay"
2024,2,10,25,"Abucay"
2024,2,11,24,"Abucay"
2024,2,12,23,"Abucay"
2024,2,13,24,"Abucay"
2024,2,14,26,"Abucay"
2024,2,15,26,"Abucay"
2024,2,16,26,"Abucay"
2024,2,17,25,"Abucay"
2024,2,18,26,"Abucay"
2024,2,19,26,"Abucay"
2024,2,20,26,"Abucay"
2024,2,21,26,"Abucay"
2024,2,22,27,"Abucay"
2024,2,23,27,"Abucay"
2024,2,24,27,"Abucay"
2024,2,25,26,"Abucay"
2024,2,26,25,"Abucay"
2024,2,27,25,"Abucay"
2024,2,28,25,"Abucay"
2024,2,29,26,"Abucay"
2024,3,1,26,"Abucay"
2024,3,2,26,"Abucay"
2024,3,3,26,"Abucay"
2024,3,4,26,"Abucay"
2024,3,5,27,"Abucay"
2024,3,6,28,"Abucay"
2024,3,7,27,"Abucay"
2024,3,8,27,"Abucay"
2024,3,9,25,"Abucay"
2024,3,10,26,"Abucay"
2024,3,11,26,"Abucay"
2024,3,12,28,"Abucay"
2024,3,13,26,"Abucay"
2024,3,14,26,"Abucay"
2024,3,15,28,"Abucay"
2024,3,16,-999,"Abucay"
2024,3,17,-999,"Abucay"
2024,3,18,-999,"Abucay"
2024,3,19,-999,"Abucay"
2024,3,20,-999,"Abucay"
2024,3,21,-999,"Abucay"
2024,3,22,-999,"Abucay"
2024,3,23,-999,"Abucay"
2024,3,24,-999,"Abucay"
2024,3,25,-999,"Abucay"
2024,3,26,30,"Abucay"
2024,3,27,30,"Abucay"
2024,3,28,-999,"Abucay"
2024,3,29,-999,"Abucay"
2024,3,30,-999,"Abucay"
2024,3,31,-999,"Abucay"
2024,4,1,29,"Abucay"
2024,4,2,-999,"Abucay"
2024,4,3,-999,"Abucay"
2024,4,4,-999,"Abucay"
2024,4,5,-999,"Abucay"
2024,4,6,-999,"Abucay"
2024,4,7,-999,"Abucay"
2024,4,8,-999,"Abucay"
2024,4,9,-999,"Abucay"
2024,4,10,-999,"Abucay"
2024,4,11,-999,"Abucay"
2024,4,12,-999,"Abucay"
2024,4,13,-999,"Abucay"
2024,4,14,29,"Abucay"
2024,4,15,31,"Abucay"
2024,4,16,30,"Abucay"
2024,4,17,30,"Abucay"
2024,4,18,32,"Abucay"
2024,4,19,33,"Abucay"
2024,4,20,-999,"Abucay"
2024,4,21,29,"Abucay"
2024,4,22,34,"Abucay"
2024,4,23,-999,"Abucay"
2024,1,1,-999,"Alabat"
2024,1,2,-999,"Alabat"
2024,1,3,-999,"Alabat"
2024,1,4,-999,"Alabat"
2024,1,5,-999,"Alabat"
2024,1,6,-999,"Alabat"
2024,1,7,-999,"Alabat"
2024,1,8,-999,"Alabat"
2024,1,9,-999,"Alabat"
2024,1,10,-999,"Alabat"
2024,1,11,-999,"Alabat"
2024,1,12,-999,"Alabat"
2024,1,13,-999,"Alabat"
2024,1,14,-999,"Alabat"
2024,1,15,-999,"Alabat"
2024,1,16,-999,"Alabat"
2024,1,17,-999,"Alabat"
2024,1,18,-999,"Alabat"
2024,1,19,-999,"Alabat"
2024,1,20,-999,"Alabat"
2024,1,21,-999,"Alabat"
2024,1,22,-999,"Alabat"
2024,1,23,-999,"Alabat"
2024,1,24,-999,"Alabat"
2024,1,25,-999,"Alabat"
2024,1,26,-999,"Alabat"
2024,1,27,-999,"Alabat"
2024,1,28,-999,"Alabat"
2024,1,29,-999,"Alabat"
2024,1,30,-999,"Alabat"
2024,1,31,-999,"Alabat"
2024,2,1,-999,"Alabat"
2024,2,2,-999,"Alabat"
2024,2,3,-999,"Alabat"
2024,2,4,-999,"Alabat"
2024,2,5,-999,"Alabat"
2024,2,6,-999,"Alabat"
2024,2,7,-999,"Alabat"
2024,2,8,-999,"Alabat"
2024,2,9,-999,"Alabat"
2024,2,10,-999,"Alabat"
2024,2,11,-999,"Alabat"
2024,2,12,-999,"Alabat"
2024,2,13,-999,"Alabat"
2024,2,14,-999,"Alabat"
2024,2,15,29,"Alabat"
2024,2,16,32,"Alabat"
2024,2,17,-999,"Alabat"
2024,2,18,28,"Alabat"
2024,2,19,29,"Alabat"
2024,2,20,30,"Alabat"
2024,2,21,30,"Alabat"
2024,2,22,28,"Alabat"
2024,2,23,29,"Alabat"
2024,2,24,29,"Alabat"
2024,2,25,29,"Alabat"
2024,2,26,29,"Alabat"
2024,2,27,29,"Alabat"
2024,2,28,29,"Alabat"
2024,2,29,29,"Alabat"
2024,3,1,29,"Alabat"
2024,3,2,28,"Alabat"
2024,3,3,29,"Alabat"
2024,3,4,29,"Alabat"
2024,3,5,28,"Alabat"
2024,3,6,30,"Alabat"
2024,3,7,30,"Alabat"
2024,3,8,30,"Alabat"
2024,3,9,30,"Alabat"
2024,3,10,29,"Alabat"
2024,3,11,26,"Alabat"
2024,3,12,30,"Alabat"
2024,3,13,30,"Alabat"
2024,3,14,28,"Alabat"
2024,3,15,30,"Alabat"
2024,3,16,-999,"Alabat"
2024,3,17,-999,"Alabat"
2024,3,18,-999,"Alabat"
2024,3,19,-999,"Alabat"
2024,3,20,-999,"Alabat"
2024,3,21,-999,"Alabat"
2024,3,22,-999,"Alabat"
2024,3,23,-999,"Alabat"
2024,3,24,-999,"Alabat"
2024,3,25,-999,"Alabat"
2024,3,26,-999,"Alabat"
2024,3,27,-999,"Alabat"
2024,3,28,-999,"Alabat"
2024,3,29,-999,"Alabat"
2024,3,30,-999,"Alabat"
2024,3,31,-999,"Alabat"
2024,4,1,-999,"Alabat"
2024,4,2,-999,"Alabat"
2024,4,3,-999,"Alabat"
2024,4,4,-999,"Alabat"
2024,4,5,-999,"Alabat"
2024,4,6,-999,"Alabat"
2024,4,7,-999,"Alabat"
2024,4,8,-999,"Alabat"
2024,4,9,-999,"Alabat"
2024,4,10,-999,"Alabat"
2024,4,11,28,"Alabat"
2024,4,12,33,"Alabat"
2024,4,13,34,"Alabat"
2024,4,14,34,"Alabat"
2024,4,15,34,"Alabat"
2024,4,16,32,"Alabat"
2024,4,17,31,"Alabat"
2024,4,18,32,"Alabat"
2024,4,19,34,"Alabat"
2024,4,20,34,"Alabat"
2024,4,21,35,"Alabat"
2024,4,22,37,"Alabat"
2024,4,23,-999,"Alabat"
2024,1,1,28,"Ambulong"
2024,1,2,30,"Ambulong"
2024,1,3,31,"Ambulong"
2024,1,4,30,"Ambulong"
2024,1,5,29,"Ambulong"
2024,1,6,30,"Ambulong"
2024,1,7,28,"Ambulong"
2024,1,8,30,"Ambulong"
2024,1,9,29,"Ambulong"
2024,1,10,32,"Ambulong"
2024,1,11,28,"Ambulong"
2024,1,12,28,"Ambulong"
2024,1,13,27,"Ambulong"
2024,1,14,28,"Ambulong"
