"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","27"
"2024","01","02","27"
"2024","01","03","28"
"2024","01","04","26"
"2024","01","05","25"
"2024","01","06","26"
"2024","01","07","25"
"2024","01","08","26"
"2024","01","09","27"
"2024","01","10","28"
"2024","01","11","25"
"2024","01","12","24"
"2024","01","13","24"
"2024","01","14","24"
"2024","01","15","24"
"2024","01","16","23"
"2024","01","17","23"
"2024","01","18","24"
"2024","01","19","24"
"2024","01","20","25"
"2024","01","21","27"
"2024","01","22","25"
"2024","01","23","26"
"2024","01","24","23"
"2024","01","25","23"
"2024","01","26","22"
"2024","01","27","22"
"2024","01","28","22"
"2024","01","29","23"
"2024","01","30","24"
"2024","01","31","24"
"2024","02","01","25"
"2024","02","02","25"
"2024","02","03","26"
"2024","02","04","26"
"2024","02","05","27"
"2024","02","06","26"
"2024","02","07","26"
"2024","02","08","27"
"2024","02","09","26"
"2024","02","10","25"
"2024","02","11","24"
"2024","02","12","23"
"2024","02","13","24"
"2024","02","14","26"
"2024","02","15","26"
"2024","02","16","26"
"2024","02","17","25"
"2024","02","18","26"
"2024","02","19","26"
"2024","02","20","26"
"2024","02","21","26"
"2024","02","22","27"
"2024","02","23","27"
"2024","02","24","27"
"2024","02","25","26"
"2024","02","26","25"
"2024","02","27","25"
"2024","02","28","25"
"2024","02","29","26"
"2024","03","01","26"
"2024","03","02","26"
"2024","03","03","26"
"2024","03","04","26"
"2024","03","05","27"
"2024","03","06","28"
"2024","03","07","27"
"2024","03","08","27"
"2024","03","09","25"
"2024","03","10","26"
"2024","03","11","26"
"2024","03","12","28"
"2024","03","13","26"
"2024","03","14","26"
"2024","03","15","28"
"2024","03","16","-999"
"2024","03","17","-999"
"2024","03","18","-999"
"2024","03","19","-999"
"2024","03","20","-999"
"2024","03","21","-999"
"2024","03","22","-999"
"2024","03","23","-999"
"2024","03","24","-999"
"2024","03","25","-999"
"2024","03","26","30"
"2024","03","27","30"
"2024","03","28","-999"
"2024","03","29","-999"
"2024","03","30","-999"
"2024","03","31","-999"
"2024","04","01","29"
"2024","04","02","-999"
"2024","04","03","-999"
"2024","04","04","-999"
"2024","04","05","-999"
"2024","04","06","-999"
"2024","04","07","-999"
"2024","04","08","-999"
"2024","04","09","-999"
"2024","04","10","-999"
"2024","04","11","-999"
"2024","04","12","-999"
"2024","04","13","-999"
"2024","04","14","29"
"2024","04","15","31"
"2024","04","16","30"
"2024","04","17","30"
"2024","04","18","32"
"2024","04","19","33"
"2024","04","20","-999"
"2024","04","21","29"
"2024","04","22","34"
"2024","04","23","-999"
