"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",25
"2024","01","02",26
"2024","01","03",25
"2024","01","04",24
"2024","01","05",26
"2024","01","06",26
"2024","01","07",26
"2024","01","08",25
"2024","01","09",29
"2024","01","10",26
"2024","01","11",23
"2024","01","12",24
"2024","01","13",24
"2024","01","14",24
"2024","01","15",25
"2024","01","16",24
"2024","01","17",24
"2024","01","18",25
"2024","01","19",26
"2024","01","20",27
"2024","01","21",27
"2024","01","22",24
"2024","01","23",23
"2024","01","24",22
"2024","01","25",23
"2024","01","26",24
"2024","01","27",24
"2024","01","28",24
"2024","01","29",24
"2024","01","30",25
"2024","01","31",25
"2024","02","01",27
"2024","02","02",27
"2024","02","03",27
"2024","02","04",29
"2024","02","05",30
"2024","02","06",28
"2024","02","07",30
"2024","02","08",28
"2024","02","09",27
"2024","02","10",26
"2024","02","11",24
"2024","02","12",23
"2024","02","13",24
"2024","02","14",27
"2024","02","15",28
"2024","02","16",28
"2024","02","17",26
"2024","02","18",27
"2024","02","19",29
"2024","02","20",28
"2024","02","21",28
"2024","02","22",28
"2024","02","23",28
"2024","02","24",28
"2024","02","25",28
"2024","02","26",26
"2024","02","27",26
"2024","02","28",27
"2024","02","29",28
"2024","03","01",28
"2024","03","02",25
"2024","03","03",25
"2024","03","04",30
"2024","03","05",33
"2024","03","06",32
"2024","03","07",30
"2024","03","08",27
"2024","03","09",25
"2024","03","10",26
"2024","03","11",30
"2024","03","12",27
"2024","03","13",24
"2024","03","14",27
"2024","03","15",30
"2024","03","16",30
"2024","03","17",30
"2024","03","18",31
"2024","03","19",28
"2024","03","20",25
"2024","03","21",24
"2024","03","22",29
"2024","03","23",31
"2024","03","24",30
"2024","03","25",33
"2024","03","26",31
"2024","03","27",30
"2024","03","28",32
"2024","03","29",34
"2024","03","30",34
"2024","03","31",35
"2024","04","01",34
"2024","04","02",33
"2024","04","03",31
"2024","04","04",34
"2024","04","05",33
"2024","04","06",34
"2024","04","07",35
"2024","04","08",36
"2024","04","09",33
"2024","04","10",32
"2024","04","11",33
"2024","04","12",33
"2024","04","13",35
"2024","04","14",36
"2024","04","15",37
"2024","04","16",37
"2024","04","17",37
"2024","04","18",35
"2024","04","19",36
"2024","04","20",36
"2024","04","21",37
"2024","04","22",36
"2024","04","23",40
