"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",20
"2024","01","02",20
"2024","01","03",20
"2024","01","04",19
"2024","01","05",19
"2024","01","06",20
"2024","01","07",19
"2024","01","08",19
"2024","01","09",20
"2024","01","10",20
"2024","01","11",18
"2024","01","12",17
"2024","01","13",17
"2024","01","14",18
"2024","01","15",16
"2024","01","16",15
"2024","01","17",16
"2024","01","18",18
"2024","01","19",18
"2024","01","20",19
"2024","01","21",18
"2024","01","22",20
"2024","01","23",18
"2024","01","24",17
"2024","01","25",16
"2024","01","26",15
"2024","01","27",15
"2024","01","28",15
"2024","01","29",16
"2024","01","30",16
"2024","01","31",18
"2024","02","01",18
"2024","02","02",18
"2024","02","03",20
"2024","02","04",20
"2024","02","05",21
"2024","02","06",19
"2024","02","07",19
"2024","02","08",19
"2024","02","09",19
"2024","02","10",17
"2024","02","11",17
"2024","02","12",16
"2024","02","13",18
"2024","02","14",19
"2024","02","15",19
"2024","02","16",19
"2024","02","17",18
"2024","02","18",19
"2024","02","19",20
"2024","02","20",20
"2024","02","21",20
"2024","02","22",20
"2024","02","23",20
"2024","02","24",20
"2024","02","25",20
"2024","02","26",19
"2024","02","27",18
"2024","02","28",18
"2024","02","29",19
"2024","03","01",19
"2024","03","02",19
"2024","03","03",18
"2024","03","04",20
"2024","03","05",23
"2024","03","06",23
"2024","03","07",22
"2024","03","08",20
"2024","03","09",19
"2024","03","10",19
"2024","03","11",21
"2024","03","12",21
"2024","03","13",20
"2024","03","14",20
"2024","03","15",21
"2024","03","16",21
"2024","03","17",21
"2024","03","18",20
"2024","03","19",20
"2024","03","20",20
"2024","03","21",19
"2024","03","22",20
"2024","03","23",20
"2024","03","24",22
"2024","03","25",23
"2024","03","26",24
"2024","03","27",22
"2024","03","28",23
"2024","03","29",21
"2024","03","30",23
"2024","03","31",23
"2024","04","01",22
"2024","04","02",23
"2024","04","03",22
"2024","04","04",23
"2024","04","05",23
"2024","04","06",23
"2024","04","07",24
"2024","04","08",23
"2024","04","09",22
"2024","04","10",21
"2024","04","11",21
"2024","04","12",23
"2024","04","13",23
"2024","04","14",24
"2024","04","15",24
"2024","04","16",23
"2024","04","17",24
"2024","04","18",24
"2024","04","19",23
"2024","04","20",24
"2024","04","21",24
"2024","04","22",24
"2024","04","23",24
