"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",28
"2024","01","02",28
"2024","01","03",30
"2024","01","04",27
"2024","01","05",26
"2024","01","06",27
"2024","01","07",28
"2024","01","08",25
"2024","01","09",26
"2024","01","10",27
"2024","01","11",25
"2024","01","12",25
"2024","01","13",25
"2024","01","14",25
"2024","01","15",25
"2024","01","16",24
"2024","01","17",23
"2024","01","18",25
"2024","01","19",25
"2024","01","20",26
"2024","01","21",27
"2024","01","22",28
"2024","01","23",27
"2024","01","24",24
"2024","01","25",24
"2024","01","26",24
"2024","01","27",23
"2024","01","28",24
"2024","01","29",26
"2024","01","30",26
"2024","01","31",26
"2024","02","01",25
"2024","02","02",26
"2024","02","03",26
"2024","02","04",27
"2024","02","05",25
"2024","02","06",27
"2024","02","07",27
"2024","02","08",27
"2024","02","09",28
"2024","02","10",27
"2024","02","11",24
"2024","02","12",23
"2024","02","13",25
"2024","02","14",24
"2024","02","15",28
"2024","02","16",25
"2024","02","17",27
"2024","02","18",27
"2024","02","19",28
"2024","02","20",28
"2024","02","21",29
"2024","02","22",28
"2024","02","23",27
"2024","02","24",28
"2024","02","25",24
"2024","02","26",26
"2024","02","27",27
"2024","02","28",26
"2024","02","29",27
"2024","03","01",27
"2024","03","02",28
"2024","03","03",27
"2024","03","04",26
"2024","03","05",29
"2024","03","06",31
"2024","03","07",30
"2024","03","08",26
"2024","03","09",25
"2024","03","10",28
"2024","03","11",28
"2024","03","12",28
"2024","03","13",24
"2024","03","14",28
"2024","03","15",26
"2024","03","16",25
"2024","03","17",29
"2024","03","18",29
"2024","03","19",27
"2024","03","20",29
"2024","03","21",25
"2024","03","22",29
"2024","03","23",26
"2024","03","24",28
"2024","03","25",32
"2024","03","26",30
"2024","03","27",26
"2024","03","28",31
"2024","03","29",26
"2024","03","30",32
"2024","03","31",32
"2024","04","01",33
"2024","04","02",32
"2024","04","03",31
"2024","04","04",31
"2024","04","05",33
"2024","04","06",30
"2024","04","07",32
"2024","04","08",33
"2024","04","09",32
"2024","04","10",32
"2024","04","11",31
"2024","04","12",32
"2024","04","13",33
"2024","04","14",34
"2024","04","15",35
"2024","04","16",34
"2024","04","17",34
"2024","04","18",34
"2024","04","19",34
"2024","04","20",35
"2024","04","21",35
"2024","04","22",35
"2024","04","23",36
