"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","31"
"2024","01","02","-999"
"2024","01","03","-999"
"2024","01","04","32"
"2024","01","05","-999"
"2024","01","06","-999"
"2024","01","07","33"
"2024","01","08","-999"
"2024","01","09","-999"
"2024","01","10","32"
"2024","01","11","-999"
"2024","01","12","-999"
"2024","01","13","30"
"2024","01","14","-999"
"2024","01","15","-999"
"2024","01","16","30"
"2024","01","17","-999"
"2024","01","18","-999"
"2024","01","19","30"
"2024","01","20","-999"
"2024","01","21","-999"
"2024","01","22","29"
"2024","01","23","-999"
"2024","01","24","32"
"2024","01","25","29"
"2024","01","26","-999"
"2024","01","27","27"
"2024","01","28","27"
"2024","01","29","-999"
"2024","01","30","27"
"2024","01","31","30"
"2024","02","01","-999"
"2024","02","02","29"
"2024","02","03","31"
"2024","02","04","-999"
"2024","02","05","30"
"2024","02","06","30"
"2024","02","07","-999"
"2024","02","08","30"
"2024","02","09","29"
"2024","02","10","-999"
"2024","02","11","29"
"2024","02","12","29"
"2024","02","13","-999"
"2024","02","14","30"
"2024","02","15","29"
"2024","02","16","32"
"2024","02","17","30"
"2024","02","18","32"
"2024","02","19","31"
"2024","02","20","31"
"2024","02","21","31"
"2024","02","22","30"
"2024","02","23","31"
"2024","02","24","32"
"2024","02","25","29"
"2024","02","26","32"
"2024","02","27","31"
"2024","02","28","30"
"2024","02","29","32"
"2024","03","01","31"
"2024","03","02","28"
"2024","03","03","30"
"2024","03","04","30"
"2024","03","05","29"
"2024","03","06","32"
"2024","03","07","31"
"2024","03","08","31"
"2024","03","09","32"
"2024","03","10","31"
"2024","03","11","32"
"2024","03","12","32"
"2024","03","13","32"
"2024","03","14","32"
"2024","03","15","33"
"2024","03","16","31"
"2024","03","17","29"
"2024","03","18","30"
"2024","03","19","30"
"2024","03","20","30"
"2024","03","21","31"
"2024","03","22","31"
"2024","03","23","32"
"2024","03","24","28"
"2024","03","25","30"
"2024","03","26","33"
"2024","03","27","34"
"2024","03","28","31"
"2024","03","29","32"
"2024","03","30","30"
"2024","03","31","32"
"2024","04","01","32"
"2024","04","02","32"
"2024","04","03","32"
"2024","04","04","33"
"2024","04","05","32"
"2024","04","06","32"
"2024","04","07","30"
"2024","04","08","30"
"2024","04","09","32"
"2024","04","10","33"
"2024","04","11","32"
"2024","04","12","30"
"2024","04","13","31"
"2024","04","14","33"
"2024","04","15","33"
"2024","04","16","32"
"2024","04","17","31"
"2024","04","18","32"
"2024","04","19","32"
"2024","04","20","33"
"2024","04","21","35"
"2024","04","22","33"
"2024","04","23","34"
