"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","32"
"2024","01","02","32"
"2024","01","03","30"
"2024","01","04","30"
"2024","01","05","30"
"2024","01","06","30"
"2024","01","07","28"
"2024","01","08","-999"
"2024","01","09","30"
"2024","01","10","32"
"2024","01","11","30"
"2024","01","12","28"
"2024","01","13","27"
"2024","01","14","26"
"2024","01","15","27"
"2024","01","16","26"
"2024","01","17","26"
"2024","01","18","28"
"2024","01","19","29"
"2024","01","20","30"
"2024","01","21","28"
"2024","01","22","28"
"2024","01","23","29"
"2024","01","24","27"
"2024","01","25","26"
"2024","01","26","26"
"2024","01","27","26"
"2024","01","28","27"
"2024","01","29","27"
"2024","01","30","27"
"2024","01","31","27"
"2024","02","01","28"
"2024","02","02","29"
"2024","02","03","30"
"2024","02","04","30"
"2024","02","05","30"
"2024","02","06","29"
"2024","02","07","29"
"2024","02","08","29"
"2024","02","09","29"
"2024","02","10","28"
"2024","02","11","28"
"2024","02","12","27"
"2024","02","13","26"
"2024","02","14","28"
"2024","02","15","30"
"2024","02","16","29"
"2024","02","17","29"
"2024","02","18","28"
"2024","02","19","30"
"2024","02","20","31"
"2024","02","21","33"
"2024","02","22","32"
"2024","02","23","33"
"2024","02","24","31"
"2024","02","25","29"
"2024","02","26","32"
"2024","02","27","31"
"2024","02","28","28"
"2024","02","29","32"
"2024","03","01","31"
"2024","03","02","33"
"2024","03","03","31"
"2024","03","04","31"
"2024","03","05","31"
"2024","03","06","30"
"2024","03","07","31"
"2024","03","08","30"
"2024","03","09","30"
"2024","03","10","30"
"2024","03","11","28"
"2024","03","12","31"
"2024","03","13","31"
"2024","03","14","31"
"2024","03","15","30"
"2024","03","16","31"
"2024","03","17","30"
"2024","03","18","29"
"2024","03","19","30"
"2024","03","20","30"
"2024","03","21","29"
"2024","03","22","30"
"2024","03","23","31"
"2024","03","24","32"
"2024","03","25","33"
"2024","03","26","32"
"2024","03","27","36"
"2024","03","28","36"
"2024","03","29","34"
"2024","03","30","35"
"2024","03","31","32"
"2024","04","01","33"
"2024","04","02","32"
"2024","04","03","33"
"2024","04","04","34"
"2024","04","05","35"
"2024","04","06","35"
"2024","04","07","34"
"2024","04","08","34"
"2024","04","09","35"
"2024","04","10","34"
"2024","04","11","33"
"2024","04","12","34"
"2024","04","13","35"
"2024","04","14","36"
"2024","04","15","37"
"2024","04","16","36"
"2024","04","17","34"
"2024","04","18","35"
"2024","04","19","36"
"2024","04","20","36"
"2024","04","21","35"
"2024","04","22","36"
"2024","04","23","33"
