"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","-999"
"2024","01","02","-999"
"2024","01","03","-999"
"2024","01","04","-999"
"2024","01","05","-999"
"2024","01","06","-999"
"2024","01","07","-999"
"2024","01","08","-999"
"2024","01","09","-999"
"2024","01","10","-999"
"2024","01","11","-999"
"2024","01","12","-999"
"2024","01","13","-999"
"2024","01","14","-999"
"2024","01","15","-999"
"2024","01","16","-999"
"2024","01","17","-999"
"2024","01","18","24"
"2024","01","19","26"
"2024","01","20","27"
"2024","01","21","27"
"2024","01","22","27"
"2024","01","23","26"
"2024","01","24","24"
"2024","01","25","24"
"2024","01","26","23"
"2024","01","27","23"
"2024","01","28","23"
"2024","01","29","25"
"2024","01","30","26"
"2024","01","31","26"
"2024","02","01","26"
"2024","02","02","28"
"2024","02","03","27"
"2024","02","04","28"
"2024","02","05","26"
"2024","02","06","27"
"2024","02","07","27"
"2024","02","08","28"
"2024","02","09","27"
"2024","02","10","25"
"2024","02","11","23"
"2024","02","12","22"
"2024","02","13","25"
"2024","02","14","25"
"2024","02","15","28"
"2024","02","16","27"
"2024","02","17","27"
"2024","02","18","27"
"2024","02","19","28"
"2024","02","20","27"
"2024","02","21","28"
"2024","02","22","29"
"2024","02","23","26"
"2024","02","24","28"
"2024","02","25","25"
"2024","02","26","26"
"2024","02","27","26"
"2024","02","28","26"
"2024","02","29","28"
"2024","03","01","27"
"2024","03","02","28"
"2024","03","03","26"
"2024","03","04","27"
"2024","03","05","30"
"2024","03","06","29"
"2024","03","07","29"
"2024","03","08","25"
"2024","03","09","25"
"2024","03","10","26"
"2024","03","11","27"
"2024","03","12","26"
"2024","03","13","23"
"2024","03","14","28"
"2024","03","15","27"
"2024","03","16","26"
"2024","03","17","28"
"2024","03","18","27"
"2024","03","19","27"
"2024","03","20","26"
"2024","03","21","-999"
"2024","03","22","28"
"2024","03","23","-999"
"2024","03","24","30"
"2024","03","25","30"
"2024","03","26","30"
"2024","03","27","28"
"2024","03","28","32"
"2024","03","29","-999"
"2024","03","30","-999"
"2024","03","31","30"
"2024","04","01","31"
"2024","04","02","30"
"2024","04","03","30"
"2024","04","04","32"
"2024","04","05","31"
"2024","04","06","32"
"2024","04","07","31"
"2024","04","08","31"
"2024","04","09","31"
"2024","04","10","32"
"2024","04","11","30"
"2024","04","12","30"
"2024","04","13","31"
"2024","04","14","32"
"2024","04","15","33"
"2024","04","16","34"
"2024","04","17","32"
"2024","04","18","31"
"2024","04","19","31"
"2024","04","20","32"
"2024","04","21","32"
"2024","04","22","34"
"2024","04","23","35"
