"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","-999"
"2024","01","02","-999"
"2024","01","03","-999"
"2024","01","04","-999"
"2024","01","05","-999"
"2024","01","06","-999"
"2024","01","07","-999"
"2024","01","08","-999"
"2024","01","09","-999"
"2024","01","10","-999"
"2024","01","11","-999"
"2024","01","12","-999"
"2024","01","13","-999"
"2024","01","14","-999"
"2024","01","15","-999"
"2024","01","16","-999"
"2024","01","17","-999"
"2024","01","18","-999"
"2024","01","19","30"
"2024","01","20","29"
"2024","01","21","30"
"2024","01","22","30"
"2024","01","23","29"
"2024","01","24","34"
"2024","01","25","28"
"2024","01","26","29"
"2024","01","27","28"
"2024","01","28","27"
"2024","01","29","29"
"2024","01","30","29"
"2024","01","31","32"
"2024","02","01","-999"
"2024","02","02","29"
"2024","02","03","30"
"2024","02","04","29"
"2024","02","05","30"
"2024","02","06","30"
"2024","02","07","29"
"2024","02","08","29"
"2024","02","09","28"
"2024","02","10","30"
"2024","02","11","29"
"2024","02","12","27"
"2024","02","13","28"
"2024","02","14","29"
"2024","02","15","27"
"2024","02","16","31"
"2024","02","17","30"
"2024","02","18","29"
"2024","02","19","31"
"2024","02","20","31"
"2024","02","21","32"
"2024","02","22","30"
"2024","02","23","32"
"2024","02","24","29"
"2024","02","25","31"
"2024","02","26","31"
"2024","02","27","32"
"2024","02","28","30"
"2024","02","29","30"
"2024","03","01","30"
"2024","03","02","30"
"2024","03","03","29"
"2024","03","04","30"
"2024","03","05","31"
"2024","03","06","30"
"2024","03","07","30"
"2024","03","08","32"
"2024","03","09","31"
"2024","03","10","30"
"2024","03","11","29"
"2024","03","12","31"
"2024","03","13","32"
"2024","03","14","31"
"2024","03","15","32"
"2024","03","16","32"
"2024","03","17","30"
"2024","03","18","27"
"2024","03","19","27"
"2024","03","20","31"
"2024","03","21","30"
"2024","03","22","31"
"2024","03","23","31"
"2024","03","24","30"
"2024","03","25","32"
"2024","03","26","33"
"2024","03","27","34"
"2024","03","28","34"
"2024","03","29","32"
"2024","03","30","32"
"2024","03","31","34"
"2024","04","01","33"
"2024","04","02","31"
"2024","04","03","34"
"2024","04","04","34"
"2024","04","05","34"
"2024","04","06","32"
"2024","04","07","31"
"2024","04","08","29"
"2024","04","09","36"
"2024","04","10","34"
"2024","04","11","35"
"2024","04","12","33"
"2024","04","13","33"
"2024","04","14","33"
"2024","04","15","34"
"2024","04","16","33"
"2024","04","17","34"
"2024","04","18","33"
"2024","04","19","34"
"2024","04","20","33"
"2024","04","21","33"
"2024","04","22","32"
"2024","04","23","34"
