"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","32"
"2024","01","02","32"
"2024","01","03","33"
"2024","01","04","31"
"2024","01","05","29"
"2024","01","06","32"
"2024","01","07","31"
"2024","01","08","33"
"2024","01","09","33"
"2024","01","10","33"
"2024","01","11","32"
"2024","01","12","28"
"2024","01","13","27"
"2024","01","14","-999"
"2024","01","15","30"
"2024","01","16","29"
"2024","01","17","29"
"2024","01","18","32"
"2024","01","19","30"
"2024","01","20","30"
"2024","01","21","30"
"2024","01","22","31"
"2024","01","23","33"
"2024","01","24","32"
"2024","01","25","29"
"2024","01","26","28"
"2024","01","27","27"
"2024","01","28","27"
"2024","01","29","29"
"2024","01","30","29"
"2024","01","31","30"
"2024","02","01","31"
"2024","02","02","30"
"2024","02","03","30"
"2024","02","04","30"
"2024","02","05","31"
"2024","02","06","29"
"2024","02","07","29"
"2024","02","08","30"
"2024","02","09","29"
"2024","02","10","30"
"2024","02","11","28"
"2024","02","12","28"
"2024","02","13","29"
"2024","02","14","29"
"2024","02","15","29"
"2024","02","16","29"
"2024","02","17","31"
"2024","02","18","31"
"2024","02","19","31"
"2024","02","20","30"
"2024","02","21","32"
"2024","02","22","31"
"2024","02","23","31"
"2024","02","24","32"
"2024","02","25","30"
"2024","02","26","29"
"2024","02","27","29"
"2024","02","28","30"
"2024","02","29","30"
"2024","03","01","30"
"2024","03","02","29"
"2024","03","03","31"
"2024","03","04","31"
"2024","03","05","32"
"2024","03","06","33"
"2024","03","07","32"
"2024","03","08","32"
"2024","03","09","31"
"2024","03","10","31"
"2024","03","11","32"
"2024","03","12","32"
"2024","03","13","31"
"2024","03","14","32"
"2024","03","15","32"
"2024","03","16","30"
"2024","03","17","30"
"2024","03","18","30"
"2024","03","19","28"
"2024","03","20","28"
"2024","03","21","30"
"2024","03","22","31"
"2024","03","23","31"
"2024","03","24","30"
"2024","03","25","32"
"2024","03","26","35"
"2024","03","27","35"
"2024","03","28","34"
"2024","03","29","32"
"2024","03","30","32"
"2024","03","31","34"
"2024","04","01","33"
"2024","04","02","33"
"2024","04","03","34"
"2024","04","04","34"
"2024","04","05","34"
"2024","04","06","33"
"2024","04","07","32"
"2024","04","08","30"
"2024","04","09","33"
"2024","04","10","31"
"2024","04","11","32"
"2024","04","12","33"
"2024","04","13","34"
"2024","04","14","35"
"2024","04","15","34"
"2024","04","16","34"
"2024","04","17","34"
"2024","04","18","35"
"2024","04","19","34"
"2024","04","20","34"
"2024","04","21","36"
"2024","04","22","35"
"2024","04","23","36"
