"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",32
"2024","01","02",32
"2024","01","03",32
"2024","01","04",34
"2024","01","05",34
"2024","01","06",34
"2024","01","07",32
"2024","01","08",32
"2024","01","09",32
"2024","01","10",31
"2024","01","11",31
"2024","01","12",34
"2024","01","13",32
"2024","01","14",31
"2024","01","15",31
"2024","01","16",32
"2024","01","17",28
"2024","01","18",28
"2024","01","19",30
"2024","01","20",29
"2024","01","21",32
"2024","01","22",32
"2024","01","23",30
"2024","01","24",30
"2024","01","25",29
"2024","01","26",29
"2024","01","27",29
"2024","01","28",28
"2024","01","29",29
"2024","01","30",30
"2024","01","31",30
"2024","02","01",30
"2024","02","02",30
"2024","02","03",32
"2024","02","04",34
"2024","02","05",35
"2024","02","06",34
"2024","02","07",33
"2024","02","08",30
"2024","02","09",34
"2024","02","10",32
"2024","02","11",32
"2024","02","12",31
"2024","02","13",32
"2024","02","14",34
"2024","02","15",34
"2024","02","16",35
"2024","02","17",32
"2024","02","18",32
"2024","02","19",32
"2024","02","20",32
"2024","02","21",32
"2024","02","22",34
"2024","02","23",34
"2024","02","24",35
"2024","02","25",35
"2024","02","26",32
"2024","02","27",32
"2024","02","28",31
"2024","02","29",32
"2024","03","01",33
"2024","03","02",30
"2024","03","03",30
"2024","03","04",38
"2024","03","05",34
"2024","03","06",32
"2024","03","07",35
"2024","03","08",32
"2024","03","09",32
"2024","03","10",35
"2024","03","11",33
"2024","03","12",36
"2024","03","13",34
"2024","03","14",34
"2024","03","15",34
"2024","03","16",36
"2024","03","17",34
"2024","03","18",31
"2024","03","19",32
"2024","03","20",33
"2024","03","21",32
"2024","03","22",33
"2024","03","23",34
"2024","03","24",33
"2024","03","25",34
"2024","03","26",38
"2024","03","27",40
"2024","03","28",38
"2024","03","29",38
"2024","03","30",34
"2024","03","31",34
"2024","04","01",36
"2024","04","02",36
"2024","04","03",36
"2024","04","04",37
"2024","04","05",37
"2024","04","06",38
"2024","04","07",36
"2024","04","08",37
"2024","04","09",38
"2024","04","10",36
"2024","04","11",36
"2024","04","12",36
"2024","04","13",37
"2024","04","14",39
"2024","04","15",39
"2024","04","16",38
"2024","04","17",39
"2024","04","18",38
"2024","04","19",39
"2024","04","20",38
"2024","04","21",37
"2024","04","22",41
"2024","04","23",42
