"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","34"
"2024","01","02","-999"
"2024","01","03","-999"
"2024","01","04","33"
"2024","01","05","34"
"2024","01","06","33"
"2024","01","07","-999"
"2024","01","08","-999"
"2024","01","09","-999"
"2024","01","10","-999"
"2024","01","11","-999"
"2024","01","12","-999"
"2024","01","13","-999"
"2024","01","14","33"
"2024","01","15","33"
"2024","01","16","31"
"2024","01","17","32"
"2024","01","18","29"
"2024","01","19","-999"
"2024","01","20","31"
"2024","01","21","32"
"2024","01","22","-999"
"2024","01","23","-999"
"2024","01","24","33"
"2024","01","25","33"
"2024","01","26","31"
"2024","01","27","32"
"2024","01","28","32"
"2024","01","29","-999"
"2024","01","30","-999"
"2024","01","31","-999"
"2024","02","01","30"
"2024","02","02","30"
"2024","02","03","34"
"2024","02","04","32"
"2024","02","05","33"
"2024","02","06","32"
"2024","02","07","32"
"2024","02","08","31"
"2024","02","09","32"
"2024","02","10","32"
"2024","02","11","32"
"2024","02","12","33"
"2024","02","13","34"
"2024","02","14","34"
"2024","02","15","34"
"2024","02","16","33"
"2024","02","17","34"
"2024","02","18","33"
"2024","02","19","33"
"2024","02","20","33"
"2024","02","21","35"
"2024","02","22","32"
"2024","02","23","33"
"2024","02","24","34"
"2024","02","25","35"
"2024","02","26","35"
"2024","02","27","32"
"2024","02","28","32"
"2024","02","29","31"
"2024","03","01","33"
"2024","03","02","34"
"2024","03","03","34"
"2024","03","04","33"
"2024","03","05","33"
"2024","03","06","36"
"2024","03","07","36"
"2024","03","08","35"
"2024","03","09","34"
"2024","03","10","34"
"2024","03","11","33"
"2024","03","12","32"
"2024","03","13","33"
"2024","03","14","35"
"2024","03","15","34"
"2024","03","16","38"
"2024","03","17","-999"
"2024","03","18","-999"
"2024","03","19","35"
"2024","03","20","34"
"2024","03","21","35"
"2024","03","22","36"
"2024","03","23","36"
"2024","03","24","34"
"2024","03","25","34"
"2024","03","26","35"
"2024","03","27","36"
"2024","03","28","34"
"2024","03","29","-999"
"2024","03","30","-999"
"2024","03","31","-999"
"2024","04","01","35"
"2024","04","02","37"
"2024","04","03","35"
"2024","04","04","35"
"2024","04","05","36"
"2024","04","06","35"
"2024","04","07","36"
"2024","04","08","-999"
"2024","04","09","-999"
"2024","04","10","34"
"2024","04","11","34"
"2024","04","12","35"
"2024","04","13","33"
"2024","04","14","34"
"2024","04","15","36"
"2024","04","16","36"
"2024","04","17","36"
"2024","04","18","34"
"2024","04","19","34"
"2024","04","20","36"
"2024","04","21","35"
"2024","04","22","38"
"2024","04","23","34"
