"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",32
"2024","01","02",33
"2024","01","03",32
"2024","01","04",31
"2024","01","05",30
"2024","01","06",30
"2024","01","07",29
"2024","01","08",30
"2024","01","09",32
"2024","01","10",30
"2024","01","11",29
"2024","01","12",28
"2024","01","13",28
"2024","01","14",28
"2024","01","15",27
"2024","01","16",27
"2024","01","17",26
"2024","01","18",28
"2024","01","19",29
"2024","01","20",30
"2024","01","21",29
"2024","01","22",31
"2024","01","23",30
"2024","01","24",28
"2024","01","25",26
"2024","01","26",26
"2024","01","27",25
"2024","01","28",26
"2024","01","29",26
"2024","01","30",26
"2024","01","31",27
"2024","02","01",28
"2024","02","02",29
"2024","02","03",30
"2024","02","04",30
"2024","02","05",30
"2024","02","06",30
"2024","02","07",29
"2024","02","08",29
"2024","02","09",30
"2024","02","10",29
"2024","02","11",28
"2024","02","12",27
"2024","02","13",28
"2024","02","14",29
"2024","02","15",30
"2024","02","16",30
"2024","02","17",29
"2024","02","18",30
"2024","02","19",29
"2024","02","20",28
"2024","02","21",28
"2024","02","22",31
"2024","02","23",30
"2024","02","24",31
"2024","02","25",32
"2024","02","26",30
"2024","02","27",29
"2024","02","28",28
"2024","02","29",29
"2024","03","01",31
"2024","03","02",30
"2024","03","03",30
"2024","03","04",32
"2024","03","05",33
"2024","03","06",31
"2024","03","07",32
"2024","03","08",32
"2024","03","09",30
"2024","03","10",30
"2024","03","11",32
"2024","03","12",29
"2024","03","13",30
"2024","03","14",31
"2024","03","15",31
"2024","03","16",32
"2024","03","17",33
"2024","03","18",32
"2024","03","19",31
"2024","03","20",32
"2024","03","21",30
"2024","03","22",31
"2024","03","23",30
"2024","03","24",33
"2024","03","25",33
"2024","03","26",33
"2024","03","27",34
"2024","03","28",34
"2024","03","29",32
"2024","03","30",34
"2024","03","31",34
"2024","04","01",37
"2024","04","02",34
"2024","04","03",35
"2024","04","04",35
"2024","04","05",35
"2024","04","06",35
"2024","04","07",36
"2024","04","08",37
"2024","04","09",37
"2024","04","10",37
"2024","04","11",38
"2024","04","12",39
"2024","04","13",37
"2024","04","14",39
"2024","04","15",39
"2024","04","16",38
"2024","04","17",39
"2024","04","18",38
"2024","04","19",38
"2024","04","20",37
"2024","04","21",36
"2024","04","22",37
"2024","04","23",39
