"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",32
"2024","01","02",31
"2024","01","03",33
"2024","01","04",32
"2024","01","05",32
"2024","01","06",32
"2024","01","07",32
"2024","01","08",29
"2024","01","09",30
"2024","01","10",32
"2024","01","11",33
"2024","01","12",30
"2024","01","13",32
"2024","01","14",32
"2024","01","15",29
"2024","01","16",27
"2024","01","17",29
"2024","01","18",25
"2024","01","19",30
"2024","01","20",29
"2024","01","21",31
"2024","01","22",31
"2024","01","23",31
"2024","01","24",31
"2024","01","25",29
"2024","01","26",28
"2024","01","27",28
"2024","01","28",28
"2024","01","29",25
"2024","01","30",26
"2024","01","31",25
"2024","02","01",29
"2024","02","02",29
"2024","02","03",32
"2024","02","04",28
"2024","02","05",31
"2024","02","06",30
"2024","02","07",29
"2024","02","08",30
"2024","02","09",30
"2024","02","10",30
"2024","02","11",28
"2024","02","12",30
"2024","02","13",29
"2024","02","14",30
"2024","02","15",31
"2024","02","16",28
"2024","02","17",31
"2024","02","18",31
"2024","02","19",30
"2024","02","20",30
"2024","02","21",30
"2024","02","22",29
"2024","02","23",28
"2024","02","24",31
"2024","02","25",31
"2024","02","26",29
"2024","02","27",29
"2024","02","28",27
"2024","02","29",32
"2024","03","01",31
"2024","03","02",31
"2024","03","03",31
"2024","03","04",31
"2024","03","05",32
"2024","03","06",32
"2024","03","07",31
"2024","03","08",30
"2024","03","09",31
"2024","03","10",31
"2024","03","11",31
"2024","03","12",30
"2024","03","13",31
"2024","03","14",31
"2024","03","15",31
"2024","03","16",32
"2024","03","17",31
"2024","03","18",31
"2024","03","19",33
"2024","03","20",33
"2024","03","21",30
"2024","03","22",33
"2024","03","23",32
"2024","03","24",32
"2024","03","25",35
"2024","03","26",34
"2024","03","27",34
"2024","03","28",32
"2024","03","29",30
"2024","03","30",33
"2024","03","31",32
"2024","04","01",32
"2024","04","02",32
"2024","04","03",33
"2024","04","04",31
"2024","04","05",33
"2024","04","06",30
"2024","04","07",32
"2024","04","08",31
"2024","04","09",34
"2024","04","10",32
"2024","04","11",33
"2024","04","12",33
"2024","04","13",33
"2024","04","14",35
"2024","04","15",34
"2024","04","16",33
"2024","04","17",34
"2024","04","18",35
"2024","04","19",34
"2024","04","20",34
"2024","04","21",31
"2024","04","22",36
"2024","04","23",35
