"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",35
"2024","01","02",34
"2024","01","03",33
"2024","01","04",32
"2024","01","05",35
"2024","01","06",36
"2024","01","07",35
"2024","01","08",35
"2024","01","09",34
"2024","01","10",34
"2024","01","11",33
"2024","01","12",31
"2024","01","13",30
"2024","01","14",30
"2024","01","15",31
"2024","01","16",30
"2024","01","17",29
"2024","01","18",30
"2024","01","19",32
"2024","01","20",32
"2024","01","21",33
"2024","01","22",33
"2024","01","23",33
"2024","01","24",32
"2024","01","25",32
"2024","01","26",27
"2024","01","27",28
"2024","01","28",29
"2024","01","29",30
"2024","01","30",29
"2024","01","31",29
"2024","02","01",30
"2024","02","02",31
"2024","02","03",32
"2024","02","04",32
"2024","02","05",31
"2024","02","06",31
"2024","02","07",30
"2024","02","08",32
"2024","02","09",33
"2024","02","10",33
"2024","02","11",31
"2024","02","12",30
"2024","02","13",29
"2024","02","14",31
"2024","02","15",31
"2024","02","16",27
"2024","02","17",31
"2024","02","18",31
"2024","02","19",32
"2024","02","20",28
"2024","02","21",30
"2024","02","22",32
"2024","02","23",30
"2024","02","24",31
"2024","02","25",32
"2024","02","26",31
"2024","02","27",30
"2024","02","28",31
"2024","02","29",32
"2024","03","01",31
"2024","03","02",31
"2024","03","03",31
"2024","03","04",31
"2024","03","05",31
"2024","03","06",32
"2024","03","07",32
"2024","03","08",32
"2024","03","09",29
"2024","03","10",32
"2024","03","11",31
"2024","03","12",32
"2024","03","13",32
"2024","03","14",32
"2024","03","15",31
"2024","03","16",32
"2024","03","17",32
"2024","03","18",31
"2024","03","19",31
"2024","03","20",32
"2024","03","21",31
"2024","03","22",32
"2024","03","23",34
"2024","03","24",31
"2024","03","25",32
"2024","03","26",34
"2024","03","27",35
"2024","03","28",35
"2024","03","29",35
"2024","03","30",33
"2024","03","31",35
"2024","04","01",33
"2024","04","02",34
"2024","04","03",33
"2024","04","04",34
"2024","04","05",34
"2024","04","06",34
"2024","04","07",33
"2024","04","08",33
"2024","04","09",34
"2024","04","10",33
"2024","04","11",34
"2024","04","12",35
"2024","04","13",34
"2024","04","14",35
"2024","04","15",36
"2024","04","16",35
"2024","04","17",34
"2024","04","18",34
"2024","04","19",34
"2024","04","20",34
"2024","04","21",36
"2024","04","22",37
"2024","04","23",36
