"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","31"
"2024","01","02","29"
"2024","01","03","32"
"2024","01","04","31"
"2024","01","05","30"
"2024","01","06","30"
"2024","01","07","31"
"2024","01","08","29"
"2024","01","09","31"
"2024","01","10","31"
"2024","01","11","29"
"2024","01","12","30"
"2024","01","13","31"
"2024","01","14","30"
"2024","01","15","30"
"2024","01","16","28"
"2024","01","17","32"
"2024","01","18","26"
"2024","01","19","29"
"2024","01","20","29"
"2024","01","21","29"
"2024","01","22","28"
"2024","01","23","29"
"2024","01","24","29"
"2024","01","25","28"
"2024","01","26","28"
"2024","01","27","27"
"2024","01","28","28"
"2024","01","29","28"
"2024","01","30","28"
"2024","01","31","27"
"2024","02","01","28"
"2024","02","02","30"
"2024","02","03","27"
"2024","02","04","27"
"2024","02","05","27"
"2024","02","06","27"
"2024","02","07","28"
"2024","02","08","28"
"2024","02","09","29"
"2024","02","10","29"
"2024","02","11","28"
"2024","02","12","31"
"2024","02","13","-999"
"2024","02","14","28"
"2024","02","15","28"
"2024","02","16","29"
"2024","02","17","30"
"2024","02","18","29"
"2024","02","19","29"
"2024","02","20","29"
"2024","02","21","30"
"2024","02","22","31"
"2024","02","23","30"
"2024","02","24","29"
"2024","02","25","30"
"2024","02","26","30"
"2024","02","27","27"
"2024","02","28","28"
"2024","02","29","31"
"2024","03","01","29"
"2024","03","02","31"
"2024","03","03","31"
"2024","03","04","28"
"2024","03","05","26"
"2024","03","06","31"
"2024","03","07","33"
"2024","03","08","29"
"2024","03","09","33"
"2024","03","10","29"
"2024","03","11","26"
"2024","03","12","26"
"2024","03","13","30"
"2024","03","14","34"
"2024","03","15","35"
"2024","03","16","-999"
"2024","03","17","29"
"2024","03","18","30"
"2024","03","19","-999"
"2024","03","20","29"
"2024","03","21","30"
"2024","03","22","34"
"2024","03","23","30"
"2024","03","24","31"
"2024","03","25","32"
"2024","03","26","33"
"2024","03","27","31"
"2024","03","28","32"
"2024","03","29","32"
"2024","03","30","33"
"2024","03","31","31"
"2024","04","01","31"
"2024","04","02","30"
"2024","04","03","32"
"2024","04","04","31"
"2024","04","05","32"
"2024","04","06","30"
"2024","04","07","30"
"2024","04","08","31"
"2024","04","09","-999"
"2024","04","10","-999"
"2024","04","11","30"
"2024","04","12","31"
"2024","04","13","31"
"2024","04","14","31"
"2024","04","15","32"
"2024","04","16","31"
"2024","04","17","32"
"2024","04","18","32"
"2024","04","19","32"
"2024","04","20","32"
"2024","04","21","33"
"2024","04","22","34"
"2024","04","23","34"
