"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",33
"2024","01","02",32
"2024","01","03",31
"2024","01","04",32
"2024","01","05",31
"2024","01","06",30
"2024","01","07",31
"2024","01","08",30
"2024","01","09",31
"2024","01","10",31
"2024","01","11",30
"2024","01","12",29
"2024","01","13",29
"2024","01","14",29
"2024","01","15",29
"2024","01","16",28
"2024","01","17",27
"2024","01","18",28
"2024","01","19",28
"2024","01","20",29
"2024","01","21",30
"2024","01","22",31
"2024","01","23",30
"2024","01","24",29
"2024","01","25",28
"2024","01","26",27
"2024","01","27",26
"2024","01","28",27
"2024","01","29",28
"2024","01","30",28
"2024","01","31",28
"2024","02","01",28
"2024","02","02",29
"2024","02","03",29
"2024","02","04",30
"2024","02","05",30
"2024","02","06",30
"2024","02","07",28
"2024","02","08",29
"2024","02","09",29
"2024","02","10",29
"2024","02","11",29
"2024","02","12",28
"2024","02","13",28
"2024","02","14",30
"2024","02","15",30
"2024","02","16",30
"2024","02","17",29
"2024","02","18",30
"2024","02","19",31
"2024","02","20",29
"2024","02","21",28
"2024","02","22",30
"2024","02","23",30
"2024","02","24",32
"2024","02","25",32
"2024","02","26",30
"2024","02","27",29
"2024","02","28",29
"2024","02","29",28
"2024","03","01",29
"2024","03","02",30
"2024","03","03",29
"2024","03","04",30
"2024","03","05",31
"2024","03","06",30
"2024","03","07",31
"2024","03","08",30
"2024","03","09",29
"2024","03","10",31
"2024","03","11",30
"2024","03","12",30
"2024","03","13",30
"2024","03","14",31
"2024","03","15",31
"2024","03","16",32
"2024","03","17",32
"2024","03","18",30
"2024","03","19",31
"2024","03","20",30
"2024","03","21",30
"2024","03","22",31
"2024","03","23",32
"2024","03","24",33
"2024","03","25",32
"2024","03","26",34
"2024","03","27",33
"2024","03","28",34
"2024","03","29",33
"2024","03","30",33
"2024","03","31",30
"2024","04","01",32
"2024","04","02",33
"2024","04","03",32
"2024","04","04",33
"2024","04","05",33
"2024","04","06",33
"2024","04","07",34
"2024","04","08",34
"2024","04","09",35
"2024","04","10",36
"2024","04","11",35
"2024","04","12",34
"2024","04","13",35
"2024","04","14",36
"2024","04","15",37
"2024","04","16",36
"2024","04","17",35
"2024","04","18",36
"2024","04","19",36
"2024","04","20",34
"2024","04","21",35
"2024","04","22",36
"2024","04","23",37
