"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","28"
"2024","01","02","27"
"2024","01","03","30"
"2024","01","04","28"
"2024","01","05","27"
"2024","01","06","30"
"2024","01","07","30"
"2024","01","08","27"
"2024","01","09","28"
"2024","01","10","30"
"2024","01","11","26"
"2024","01","12","25"
"2024","01","13","26"
"2024","01","14","26"
"2024","01","15","26"
"2024","01","16","27"
"2024","01","17","26"
"2024","01","18","26"
"2024","01","19","26"
"2024","01","20","26"
"2024","01","21","30"
"2024","01","22","27"
"2024","01","23","28"
"2024","01","24","25"
"2024","01","25","24"
"2024","01","26","24"
"2024","01","27","26"
"2024","01","28","27"
"2024","01","29","28"
"2024","01","30","26"
"2024","01","31","26"
"2024","02","01","28"
"2024","02","02","27"
"2024","02","03","28"
"2024","02","04","29"
"2024","02","05","30"
"2024","02","06","30"
"2024","02","07","28"
"2024","02","08","28"
"2024","02","09","29"
"2024","02","10","28"
"2024","02","11","27"
"2024","02","12","26"
"2024","02","13","26"
"2024","02","14","29"
"2024","02","15","29"
"2024","02","16","27"
"2024","02","17","27"
"2024","02","18","29"
"2024","02","19","30"
"2024","02","20","30"
"2024","02","21","29"
"2024","02","22","29"
"2024","02","23","28"
"2024","02","24","29"
"2024","02","25","29"
"2024","02","26","29"
"2024","02","27","28"
"2024","02","28","29"
"2024","02","29","30"
"2024","03","01","29"
"2024","03","02","28"
"2024","03","03","30"
"2024","03","04","29"
"2024","03","05","28"
"2024","03","06","29"
"2024","03","07","30"
"2024","03","08","30"
"2024","03","09","26"
"2024","03","10","30"
"2024","03","11","27"
"2024","03","12","28"
"2024","03","13","27"
"2024","03","14","29"
"2024","03","15","25"
"2024","03","16","28"
"2024","03","17","29"
"2024","03","18","30"
"2024","03","19","-999"
"2024","03","20","32"
"2024","03","21","30"
"2024","03","22","27"
"2024","03","23","27"
"2024","03","24","31"
"2024","03","25","31"
"2024","03","26","30"
"2024","03","27","34"
"2024","03","28","34"
"2024","03","29","30"
"2024","03","30","34"
"2024","03","31","-999"
"2024","04","01","31"
"2024","04","02","33"
"2024","04","03","32"
"2024","04","04","33"
"2024","04","05","34"
"2024","04","06","34"
"2024","04","07","31"
"2024","04","08","32"
"2024","04","09","34"
"2024","04","10","35"
"2024","04","11","30"
"2024","04","12","31"
"2024","04","13","32"
"2024","04","14","34"
"2024","04","15","34"
"2024","04","16","32"
"2024","04","17","33"
"2024","04","18","31"
"2024","04","19","32"
"2024","04","20","36"
"2024","04","21","36"
"2024","04","22","38"
"2024","04","23","36"
