"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",30
"2024","01","02",29
"2024","01","03",30
"2024","01","04",30
"2024","01","05",29
"2024","01","06",28
"2024","01","07",29
"2024","01","08",30
"2024","01","09",32
"2024","01","10",30
"2024","01","11",27
"2024","01","12",26
"2024","01","13",28
"2024","01","14",29
"2024","01","15",28
"2024","01","16",27
"2024","01","17",27
"2024","01","18",27
"2024","01","19",27
"2024","01","20",28
"2024","01","21",29
"2024","01","22",28
"2024","01","23",29
"2024","01","24",27
"2024","01","25",24
"2024","01","26",25
"2024","01","27",25
"2024","01","28",26
"2024","01","29",26
"2024","01","30",26
"2024","01","31",28
"2024","02","01",27
"2024","02","02",28
"2024","02","03",29
"2024","02","04",29
"2024","02","05",29
"2024","02","06",27
"2024","02","07",27
"2024","02","08",29
"2024","02","09",26
"2024","02","10",26
"2024","02","11",29
"2024","02","12",26
"2024","02","13",27
"2024","02","14",28
"2024","02","15",26
"2024","02","16",28
"2024","02","17",28
"2024","02","18",29
"2024","02","19",27
"2024","02","20",29
"2024","02","21",28
"2024","02","22",29
"2024","02","23",29
"2024","02","24",29
"2024","02","25",29
"2024","02","26",27
"2024","02","27",27
"2024","02","28",28
"2024","02","29",29
"2024","03","01",28
"2024","03","02",28
"2024","03","03",27
"2024","03","04",28
"2024","03","05",29
"2024","03","06",29
"2024","03","07",28
"2024","03","08",28
"2024","03","09",29
"2024","03","10",26
"2024","03","11",28
"2024","03","12",31
"2024","03","13",29
"2024","03","14",30
"2024","03","15",30
"2024","03","16",29
"2024","03","17",29
"2024","03","18",24
"2024","03","19",27
"2024","03","20",28
"2024","03","21",28
"2024","03","22",29
"2024","03","23",29
"2024","03","24",29
"2024","03","25",29
"2024","03","26",33
"2024","03","27",32
"2024","03","28",32
"2024","03","29",30
"2024","03","30",29
"2024","03","31",31
"2024","04","01",31
"2024","04","02",30
"2024","04","03",31
"2024","04","04",32
"2024","04","05",31
"2024","04","06",32
"2024","04","07",31
"2024","04","08",30
"2024","04","09",31
"2024","04","10",30
"2024","04","11",31
"2024","04","12",31
"2024","04","13",31
"2024","04","14",32
"2024","04","15",32
"2024","04","16",31
"2024","04","17",31
"2024","04","18",30
"2024","04","19",32
"2024","04","20",32
"2024","04","21",33
"2024","04","22",32
"2024","04","23",33
