"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","34"
"2024","01","02","32"
"2024","01","03","31"
"2024","01","04","32"
"2024","01","05","31"
"2024","01","06","32"
"2024","01","07","32"
"2024","01","08","34"
"2024","01","09","32"
"2024","01","10","33"
"2024","01","11","33"
"2024","01","12","33"
"2024","01","13","31"
"2024","01","14","29"
"2024","01","15","29"
"2024","01","16","30"
"2024","01","17","29"
"2024","01","18","29"
"2024","01","19","30"
"2024","01","20","31"
"2024","01","21","32"
"2024","01","22","31"
"2024","01","23","31"
"2024","01","24","30"
"2024","01","25","30"
"2024","01","26","27"
"2024","01","27","28"
"2024","01","28","28"
"2024","01","29","28"
"2024","01","30","28"
"2024","01","31","28"
"2024","02","01","28"
"2024","02","02","30"
"2024","02","03","31"
"2024","02","04","31"
"2024","02","05","30"
"2024","02","06","30"
"2024","02","07","29"
"2024","02","08","31"
"2024","02","09","33"
"2024","02","10","32"
"2024","02","11","31"
"2024","02","12","31"
"2024","02","13","31"
"2024","02","14","31"
"2024","02","15","30"
"2024","02","16","28"
"2024","02","17","31"
"2024","02","18","30"
"2024","02","19","30"
"2024","02","20","30"
"2024","02","21","29"
"2024","02","22","28"
"2024","02","23","30"
"2024","02","24","32"
"2024","02","25","32"
"2024","02","26","31"
"2024","02","27","30"
"2024","02","28","30"
"2024","02","29","33"
"2024","03","01","31"
"2024","03","02","32"
"2024","03","03","31"
"2024","03","04","31"
"2024","03","05","31"
"2024","03","06","32"
"2024","03","07","32"
"2024","03","08","31"
"2024","03","09","30"
"2024","03","10","31"
"2024","03","11","30"
"2024","03","12","31"
"2024","03","13","32"
"2024","03","14","31"
"2024","03","15","33"
"2024","03","16","33"
"2024","03","17","31"
"2024","03","18","30"
"2024","03","19","30"
"2024","03","20","31"
"2024","03","21","31"
"2024","03","22","31"
"2024","03","23","32"
"2024","03","24","32"
"2024","03","25","33"
"2024","03","26","34"
"2024","03","27","35"
"2024","03","28","33"
"2024","03","29","33"
"2024","03","30","32"
"2024","03","31","34"
"2024","04","01","33"
"2024","04","02","33"
"2024","04","03","33"
"2024","04","04","33"
"2024","04","05","33"
"2024","04","06","31"
"2024","04","07","32"
"2024","04","08","31"
"2024","04","09","33"
"2024","04","10","32"
"2024","04","11","32"
"2024","04","12","33"
"2024","04","13","32"
"2024","04","14","32"
"2024","04","15","35"
"2024","04","16","34"
"2024","04","17","34"
"2024","04","18","34"
"2024","04","19","34"
"2024","04","20","-999"
"2024","04","21","35"
"2024","04","22","36"
"2024","04","23","36"
