"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",31
"2024","01","02",33
"2024","01","03",27
"2024","01","04",30
"2024","01","05",29
"2024","01","06",27
"2024","01","07",26
"2024","01","08",30
"2024","01","09",31
"2024","01","10",28
"2024","01","11",26
"2024","01","12",26
"2024","01","13",27
"2024","01","14",28
"2024","01","15",27
"2024","01","16",26
"2024","01","17",28
"2024","01","18",28
"2024","01","19",29
"2024","01","20",30
"2024","01","21",30
"2024","01","22",31
"2024","01","23",27
"2024","01","24",27
"2024","01","25",26
"2024","01","26",25
"2024","01","27",27
"2024","01","28",27
"2024","01","29",27
"2024","01","30",26
"2024","01","31",28
"2024","02","01",28
"2024","02","02",29
"2024","02","03",30
"2024","02","04",31
"2024","02","05",32
"2024","02","06",32
"2024","02","07",30
"2024","02","08",29
"2024","02","09",29
"2024","02","10",28
"2024","02","11",27
"2024","02","12",27
"2024","02","13",28
"2024","02","14",29
"2024","02","15",29
"2024","02","16",29
"2024","02","17",29
"2024","02","18",30
"2024","02","19",31
"2024","02","20",30
"2024","02","21",30
"2024","02","22",29
"2024","02","23",31
"2024","02","24",30
"2024","02","25",30
"2024","02","26",31
"2024","02","27",30
"2024","02","28",29
"2024","02","29",30
"2024","03","01",30
"2024","03","02",28
"2024","03","03",30
"2024","03","04",31
"2024","03","05",31
"2024","03","06",31
"2024","03","07",30
"2024","03","08",32
"2024","03","09",30
"2024","03","10",30
"2024","03","11",31
"2024","03","12",29
"2024","03","13",30
"2024","03","14",30
"2024","03","15",31
"2024","03","16",32
"2024","03","17",30
"2024","03","18",31
"2024","03","19",31
"2024","03","20",29
"2024","03","21",30
"2024","03","22",31
"2024","03","23",33
"2024","03","24",33
"2024","03","25",34
"2024","03","26",34
"2024","03","27",36
"2024","03","28",35
"2024","03","29",35
"2024","03","30",36
"2024","03","31",37
"2024","04","01",36
"2024","04","02",36
"2024","04","03",34
"2024","04","04",34
"2024","04","05",38
"2024","04","06",38
"2024","04","07",37
"2024","04","08",35
"2024","04","09",35
"2024","04","10",37
"2024","04","11",35
"2024","04","12",37
"2024","04","13",36
"2024","04","14",37
"2024","04","15",36
"2024","04","16",36
"2024","04","17",36
"2024","04","18",34
"2024","04","19",34
"2024","04","20",38
"2024","04","21",37
"2024","04","22",37
"2024","04","23",38
