"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",27
"2024","01","02",25
"2024","01","03",27
"2024","01","04",27
"2024","01","05",27
"2024","01","06",26
"2024","01","07",28
"2024","01","08",27
"2024","01","09",26
"2024","01","10",28
"2024","01","11",28
"2024","01","12",27
"2024","01","13",26
"2024","01","14",24
"2024","01","15",26
"2024","01","16",24
"2024","01","17",25
"2024","01","18",24
"2024","01","19",24
"2024","01","20",26
"2024","01","21",26
"2024","01","22",26
"2024","01","23",25
"2024","01","24",27
"2024","01","25",24
"2024","01","26",24
"2024","01","27",25
"2024","01","28",25
"2024","01","29",24
"2024","01","30",24
"2024","01","31",22
"2024","02","01",25
"2024","02","02",26
"2024","02","03",27
"2024","02","04",26
"2024","02","05",26
"2024","02","06",25
"2024","02","07",25
"2024","02","08",25
"2024","02","09",26
"2024","02","10",26
"2024","02","11",26
"2024","02","12",26
"2024","02","13",26
"2024","02","14",25
"2024","02","15",26
"2024","02","16",24
"2024","02","17",28
"2024","02","18",24
"2024","02","19",25
"2024","02","20",26
"2024","02","21",26
"2024","02","22",25
"2024","02","23",25
"2024","02","24",26
"2024","02","25",25
"2024","02","26",26
"2024","02","27",25
"2024","02","28",26
"2024","02","29",26
"2024","03","01",26
"2024","03","02",26
"2024","03","03",26
"2024","03","04",26
"2024","03","05",28
"2024","03","06",27
"2024","03","07",26
"2024","03","08",26
"2024","03","09",25
"2024","03","10",24
"2024","03","11",25
"2024","03","12",26
"2024","03","13",26
"2024","03","14",26
"2024","03","15",25
"2024","03","16",26
"2024","03","17",26
"2024","03","18",25
"2024","03","19",27
"2024","03","20",27
"2024","03","21",27
"2024","03","22",26
"2024","03","23",27
"2024","03","24",26
"2024","03","25",28
"2024","03","26",28
"2024","03","27",28
"2024","03","28",26
"2024","03","29",24
"2024","03","30",28
"2024","03","31",26
"2024","04","01",25
"2024","04","02",25
"2024","04","03",28
"2024","04","04",28
"2024","04","05",27
"2024","04","06",24
"2024","04","07",26
"2024","04","08",26
"2024","04","09",28
"2024","04","10",25
"2024","04","11",29
"2024","04","12",29
"2024","04","13",29
"2024","04","14",28
"2024","04","15",30
"2024","04","16",30
"2024","04","17",31
"2024","04","18",29
"2024","04","19",28
"2024","04","20",29
"2024","04","21",28
"2024","04","22",32
"2024","04","23",30
