"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",34
"2024","01","02",32
"2024","01","03",32
"2024","01","04",33
"2024","01","05",30
"2024","01","06",31
"2024","01","07",32
"2024","01","08",33
"2024","01","09",35
"2024","01","10",34
"2024","01","11",28
"2024","01","12",27
"2024","01","13",30
"2024","01","14",31
"2024","01","15",30
"2024","01","16",29
"2024","01","17",30
"2024","01","18",32
"2024","01","19",30
"2024","01","20",31
"2024","01","21",30
"2024","01","22",30
"2024","01","23",31
"2024","01","24",29
"2024","01","25",26
"2024","01","26",27
"2024","01","27",27
"2024","01","28",26
"2024","01","29",27
"2024","01","30",28
"2024","01","31",30
"2024","02","01",30
"2024","02","02",30
"2024","02","03",31
"2024","02","04",32
"2024","02","05",31
"2024","02","06",28
"2024","02","07",30
"2024","02","08",31
"2024","02","09",29
"2024","02","10",28
"2024","02","11",30
"2024","02","12",28
"2024","02","13",28
"2024","02","14",30
"2024","02","15",28
"2024","02","16",29
"2024","02","17",30
"2024","02","18",30
"2024","02","19",31
"2024","02","20",31
"2024","02","21",32
"2024","02","22",31
"2024","02","23",32
"2024","02","24",31
"2024","02","25",31
"2024","02","26",29
"2024","02","27",30
"2024","02","28",31
"2024","02","29",32
"2024","03","01",31
"2024","03","02",30
"2024","03","03",28
"2024","03","04",31
"2024","03","05",31
"2024","03","06",32
"2024","03","07",32
"2024","03","08",31
"2024","03","09",32
"2024","03","10",29
"2024","03","11",31
"2024","03","12",32
"2024","03","13",33
"2024","03","14",32
"2024","03","15",33
"2024","03","16",32
"2024","03","17",31
"2024","03","18",28
"2024","03","19",31
"2024","03","20",32
"2024","03","21",31
"2024","03","22",33
"2024","03","23",33
"2024","03","24",32
"2024","03","25",33
"2024","03","26",36
"2024","03","27",36
"2024","03","28",36
"2024","03","29",34
"2024","03","30",33
"2024","03","31",34
"2024","04","01",34
"2024","04","02",34
"2024","04","03",34
"2024","04","04",35
"2024","04","05",35
"2024","04","06",34
"2024","04","07",33
"2024","04","08",33
"2024","04","09",33
"2024","04","10",34
"2024","04","11",34
"2024","04","12",34
"2024","04","13",35
"2024","04","14",35
"2024","04","15",35
"2024","04","16",34
"2024","04","17",35
"2024","04","18",35
"2024","04","19",36
"2024","04","20",35
"2024","04","21",37
"2024","04","22",38
"2024","04","23",37
