"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","32"
"2024","01","02","32"
"2024","01","03","34"
"2024","01","04","31"
"2024","01","05","31"
"2024","01","06","32"
"2024","01","07","31"
"2024","01","08","32"
"2024","01","09","29"
"2024","01","10","31"
"2024","01","11","29"
"2024","01","12","31"
"2024","01","13","27"
"2024","01","14","28"
"2024","01","15","32"
"2024","01","16","28"
"2024","01","17","27"
"2024","01","18","30"
"2024","01","19","29"
"2024","01","20","29"
"2024","01","21","-999"
"2024","01","22","30"
"2024","01","23","31"
"2024","01","24","30"
"2024","01","25","31"
"2024","01","26","26"
"2024","01","27","26"
"2024","01","28","28"
"2024","01","29","28"
"2024","01","30","28"
"2024","01","31","29"
"2024","02","01","27"
"2024","02","02","30"
"2024","02","03","30"
"2024","02","04","30"
"2024","02","05","28"
"2024","02","06","26"
"2024","02","07","28"
"2024","02","08","31"
"2024","02","09","29"
"2024","02","10","29"
"2024","02","11","29"
"2024","02","12","29"
"2024","02","13","28"
"2024","02","14","30"
"2024","02","15","30"
"2024","02","16","27"
"2024","02","17","28"
"2024","02","18","29"
"2024","02","19","30"
"2024","02","20","26"
"2024","02","21","29"
"2024","02","22","31"
"2024","02","23","29"
"2024","02","24","29"
"2024","02","25","29"
"2024","02","26","30"
"2024","02","27","28"
"2024","02","28","29"
"2024","02","29","29"
"2024","03","01","30"
"2024","03","02","31"
"2024","03","03","30"
"2024","03","04","30"
"2024","03","05","29"
"2024","03","06","30"
"2024","03","07","30"
"2024","03","08","30"
"2024","03","09","28"
"2024","03","10","28"
"2024","03","11","29"
"2024","03","12","31"
"2024","03","13","30"
"2024","03","14","30"
"2024","03","15","30"
"2024","03","16","30"
"2024","03","17","29"
"2024","03","18","29"
"2024","03","19","28"
"2024","03","20","30"
"2024","03","21","29"
"2024","03","22","29"
"2024","03","23","31"
"2024","03","24","30"
"2024","03","25","31"
"2024","03","26","32"
"2024","03","27","32"
"2024","03","28","32"
"2024","03","29","31"
"2024","03","30","30"
"2024","03","31","32"
"2024","04","01","31"
"2024","04","02","31"
"2024","04","03","31"
"2024","04","04","33"
"2024","04","05","33"
"2024","04","06","31"
"2024","04","07","31"
"2024","04","08","31"
"2024","04","09","32"
"2024","04","10","30"
"2024","04","11","32"
"2024","04","12","33"
"2024","04","13","32"
"2024","04","14","32"
"2024","04","15","33"
"2024","04","16","33"
"2024","04","17","34"
"2024","04","18","32"
"2024","04","19","33"
"2024","04","20","32"
"2024","04","21","33"
"2024","04","22","36"
"2024","04","23","36"
