"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",36
"2024","01","02",34
"2024","01","03",34
"2024","01","04",36
"2024","01","05",35
"2024","01","06",34
"2024","01","07",35
"2024","01","08",34
"2024","01","09",34
"2024","01","10",35
"2024","01","11",34
"2024","01","12",34
"2024","01","13",34
"2024","01","14",33
"2024","01","15",32
"2024","01","16",31
"2024","01","17",31
"2024","01","18",31
"2024","01","19",31
"2024","01","20",32
"2024","01","21",32
"2024","01","22",33
"2024","01","23",32
"2024","01","24",33
"2024","01","25",33
"2024","01","26",31
"2024","01","27",30
"2024","01","28",31
"2024","01","29",31
"2024","01","30",32
"2024","01","31",32
"2024","02","01",31
"2024","02","02",31
"2024","02","03",32
"2024","02","04",32
"2024","02","05",32
"2024","02","06",33
"2024","02","07",31
"2024","02","08",32
"2024","02","09",32
"2024","02","10",33
"2024","02","11",32
"2024","02","12",32
"2024","02","13",33
"2024","02","14",32
"2024","02","15",32
"2024","02","16",33
"2024","02","17",32
"2024","02","18",33
"2024","02","19",31
"2024","02","20",33
"2024","02","21",33
"2024","02","22",33
"2024","02","23",33
"2024","02","24",33
"2024","02","25",33
"2024","02","26",32
"2024","02","27",32
"2024","02","28",32
"2024","02","29",32
"2024","03","01",33
"2024","03","02",32
"2024","03","03",31
"2024","03","04",31
"2024","03","05",32
"2024","03","06",32
"2024","03","07",34
"2024","03","08",32
"2024","03","09",32
"2024","03","10",33
"2024","03","11",32
"2024","03","12",32
"2024","03","13",34
"2024","03","14",33
"2024","03","15",34
"2024","03","16",34
"2024","03","17",33
"2024","03","18",32
"2024","03","19",32
"2024","03","20",33
"2024","03","21",34
"2024","03","22",33
"2024","03","23",34
"2024","03","24",36
"2024","03","25",36
"2024","03","26",37
"2024","03","27",38
"2024","03","28",37
"2024","03","29",36
"2024","03","30",36
"2024","03","31",34
"2024","04","01",35
"2024","04","02",35
"2024","04","03",35
"2024","04","04",36
"2024","04","05",35
"2024","04","06",37
"2024","04","07",35
"2024","04","08",36
"2024","04","09",37
"2024","04","10",37
"2024","04","11",37
"2024","04","12",37
"2024","04","13",37
"2024","04","14",38
"2024","04","15",37
"2024","04","16",38
"2024","04","17",38
"2024","04","18",37
"2024","04","19",37
"2024","04","20",37
"2024","04","21",38
"2024","04","22",40
"2024","04","23",39
