"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",30
"2024","01","02",29
"2024","01","03",31
"2024","01","04",30
"2024","01","05",28
"2024","01","06",29
"2024","01","07",27
"2024","01","08",30
"2024","01","09",29
"2024","01","10",31
"2024","01","11",28
"2024","01","12",28
"2024","01","13",28
"2024","01","14",28
"2024","01","15",27
"2024","01","16",26
"2024","01","17",25
"2024","01","18",26
"2024","01","19",28
"2024","01","20",27
"2024","01","21",28
"2024","01","22",28
"2024","01","23",29
"2024","01","24",27
"2024","01","25",26
"2024","01","26",25
"2024","01","27",25
"2024","01","28",26
"2024","01","29",25
"2024","01","30",26
"2024","01","31",26
"2024","02","01",28
"2024","02","02",28
"2024","02","03",29
"2024","02","04",29
"2024","02","05",30
"2024","02","06",28
"2024","02","07",29
"2024","02","08",30
"2024","02","09",28
"2024","02","10",27
"2024","02","11",27
"2024","02","12",26
"2024","02","13",28
"2024","02","14",30
"2024","02","15",29
"2024","02","16",28
"2024","02","17",29
"2024","02","18",29
"2024","02","19",30
"2024","02","20",30
"2024","02","21",28
"2024","02","22",30
"2024","02","23",30
"2024","02","24",30
"2024","02","25",30
"2024","02","26",27
"2024","02","27",27
"2024","02","28",28
"2024","02","29",28
"2024","03","01",28
"2024","03","02",28
"2024","03","03",29
"2024","03","04",31
"2024","03","05",30
"2024","03","06",30
"2024","03","07",30
"2024","03","08",29
"2024","03","09",28
"2024","03","10",29
"2024","03","11",29
"2024","03","12",31
"2024","03","13",30
"2024","03","14",29
"2024","03","15",29
"2024","03","16",30
"2024","03","17",29
"2024","03","18",31
"2024","03","19",28
"2024","03","20",30
"2024","03","21",26
"2024","03","22",28
"2024","03","23",32
"2024","03","24",31
"2024","03","25",34
"2024","03","26",34
"2024","03","27",31
"2024","03","28",35
"2024","03","29",31
"2024","03","30",31
"2024","03","31",32
"2024","04","01",34
"2024","04","02",31
"2024","04","03",31
"2024","04","04",33
"2024","04","05",28
"2024","04","06",30
"2024","04","07",33
"2024","04","08",33
"2024","04","09",33
"2024","04","10",33
"2024","04","11",32
"2024","04","12",32
"2024","04","13",33
"2024","04","14",36
"2024","04","15",36
"2024","04","16",32
"2024","04","17",33
"2024","04","18",33
"2024","04","19",33
"2024","04","20",34
"2024","04","21",34
"2024","04","22",38
"2024","04","23",38
