"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",28
"2024","01","02",30
"2024","01","03",26
"2024","01","04",28
"2024","01","05",28
"2024","01","06",27
"2024","01","07",26
"2024","01","08",28
"2024","01","09",29
"2024","01","10",26
"2024","01","11",26
"2024","01","12",26
"2024","01","13",26
"2024","01","14",26
"2024","01","15",26
"2024","01","16",26
"2024","01","17",26
"2024","01","18",26
"2024","01","19",27
"2024","01","20",27
"2024","01","21",28
"2024","01","22",28
"2024","01","23",25
"2024","01","24",25
"2024","01","25",25
"2024","01","26",24
"2024","01","27",25
"2024","01","28",26
"2024","01","29",26
"2024","01","30",25
"2024","01","31",26
"2024","02","01",27
"2024","02","02",27
"2024","02","03",28
"2024","02","04",28
"2024","02","05",29
"2024","02","06",29
"2024","02","07",28
"2024","02","08",27
"2024","02","09",26
"2024","02","10",25
"2024","02","11",25
"2024","02","12",26
"2024","02","13",26
"2024","02","14",27
"2024","02","15",27
"2024","02","16",27
"2024","02","17",28
"2024","02","18",28
"2024","02","19",29
"2024","02","20",28
"2024","02","21",27
"2024","02","22",27
"2024","02","23",29
"2024","02","24",28
"2024","02","25",30
"2024","02","26",29
"2024","02","27",28
"2024","02","28",28
"2024","02","29",29
"2024","03","01",30
"2024","03","02",28
"2024","03","03",30
"2024","03","04",30
"2024","03","05",31
"2024","03","06",31
"2024","03","07",30
"2024","03","08",31
"2024","03","09",31
"2024","03","10",30
"2024","03","11",30
"2024","03","12",29
"2024","03","13",29
"2024","03","14",30
"2024","03","15",31
"2024","03","16",31
"2024","03","17",31
"2024","03","18",30
"2024","03","19",30
"2024","03","20",30
"2024","03","21",29
"2024","03","22",31
"2024","03","23",33
"2024","03","24",32
"2024","03","25",32
"2024","03","26",33
"2024","03","27",34
"2024","03","28",33
"2024","03","29",35
"2024","03","30",36
"2024","03","31",35
"2024","04","01",34
"2024","04","02",35
"2024","04","03",33
"2024","04","04",34
"2024","04","05",36
"2024","04","06",36
"2024","04","07",36
"2024","04","08",35
"2024","04","09",34
"2024","04","10",35
"2024","04","11",35
"2024","04","12",36
"2024","04","13",37
"2024","04","14",37
"2024","04","15",35
"2024","04","16",35
"2024","04","17",36
"2024","04","18",34
"2024","04","19",35
"2024","04","20",37
"2024","04","21",36
"2024","04","22",36
"2024","04","23",36
