"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",31
"2024","01","02",31
"2024","01","03",32
"2024","01","04",32
"2024","01","05",33
"2024","01","06",33
"2024","01","07",30
"2024","01","08",32
"2024","01","09",31
"2024","01","10",32
"2024","01","11",32
"2024","01","12",33
"2024","01","13",28
"2024","01","14",28
"2024","01","15",30
"2024","01","16",30
"2024","01","17",28
"2024","01","18",29
"2024","01","19",29
"2024","01","20",29
"2024","01","21",30
"2024","01","22",29
"2024","01","23",28
"2024","01","24",28
"2024","01","25",30
"2024","01","26",28
"2024","01","27",28
"2024","01","28",28
"2024","01","29",27
"2024","01","30",26
"2024","01","31",28
"2024","02","01",27
"2024","02","02",29
"2024","02","03",29
"2024","02","04",30
"2024","02","05",30
"2024","02","06",29
"2024","02","07",25
"2024","02","08",30
"2024","02","09",30
"2024","02","10",30
"2024","02","11",30
"2024","02","12",31
"2024","02","13",31
"2024","02","14",31
"2024","02","15",28
"2024","02","16",26
"2024","02","17",29
"2024","02","18",29
"2024","02","19",28
"2024","02","20",26
"2024","02","21",30
"2024","02","22",28
"2024","02","23",28
"2024","02","24",30
"2024","02","25",29
"2024","02","26",29
"2024","02","27",30
"2024","02","28",30
"2024","02","29",31
"2024","03","01",29
"2024","03","02",30
"2024","03","03",30
"2024","03","04",30
"2024","03","05",30
"2024","03","06",31
"2024","03","07",31
"2024","03","08",28
"2024","03","09",29
"2024","03","10",31
"2024","03","11",31
"2024","03","12",29
"2024","03","13",31
"2024","03","14",30
"2024","03","15",30
"2024","03","16",30
"2024","03","17",30
"2024","03","18",30
"2024","03","19",31
"2024","03","20",30
"2024","03","21",29
"2024","03","22",30
"2024","03","23",31
"2024","03","24",31
"2024","03","25",29
"2024","03","26",34
"2024","03","27",34
"2024","03","28",31
"2024","03","29",31
"2024","03","30",31
"2024","03","31",32
"2024","04","01",33
"2024","04","02",32
"2024","04","03",32
"2024","04","04",33
"2024","04","05",33
"2024","04","06",34
"2024","04","07",31
"2024","04","08",30
"2024","04","09",33
"2024","04","10",32
"2024","04","11",30
"2024","04","12",32
"2024","04","13",32
"2024","04","14",34
"2024","04","15",34
"2024","04","16",34
"2024","04","17",33
"2024","04","18",34
"2024","04","19",33
"2024","04","20",33
"2024","04","21",31
"2024","04","22",34
"2024","04","23",35
