"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",34
"2024","01","02",34
"2024","01","03",34
"2024","01","04",35
"2024","01","05",32
"2024","01","06",34
"2024","01","07",33
"2024","01","08",34
"2024","01","09",34
"2024","01","10",34
"2024","01","11",34
"2024","01","12",27
"2024","01","13",27
"2024","01","14",30
"2024","01","15",30
"2024","01","16",28
"2024","01","17",29
"2024","01","18",30
"2024","01","19",30
"2024","01","20",30
"2024","01","21",31
"2024","01","22",29
"2024","01","23",32
"2024","01","24",32
"2024","01","25",31
"2024","01","26",28
"2024","01","27",27
"2024","01","28",26
"2024","01","29",28
"2024","01","30",27
"2024","01","31",29
"2024","02","01",30
"2024","02","02",30
"2024","02","03",30
"2024","02","04",31
"2024","02","05",30
"2024","02","06",28
"2024","02","07",30
"2024","02","08",31
"2024","02","09",31
"2024","02","10",31
"2024","02","11",29
"2024","02","12",29
"2024","02","13",28
"2024","02","14",31
"2024","02","15",30
"2024","02","16",31
"2024","02","17",30
"2024","02","18",32
"2024","02","19",33
"2024","02","20",32
"2024","02","21",32
"2024","02","22",32
"2024","02","23",32
"2024","02","24",33
"2024","02","25",30
"2024","02","26",31
"2024","02","27",30
"2024","02","28",31
"2024","02","29",31
"2024","03","01",31
"2024","03","02",30
"2024","03","03",32
"2024","03","04",32
"2024","03","05",32
"2024","03","06",34
"2024","03","07",33
"2024","03","08",33
"2024","03","09",30
"2024","03","10",31
"2024","03","11",32
"2024","03","12",31
"2024","03","13",31
"2024","03","14",33
"2024","03","15",33
"2024","03","16",32
"2024","03","17",32
"2024","03","18",31
"2024","03","19",30
"2024","03","20",31
"2024","03","21",32
"2024","03","22",33
"2024","03","23",32
"2024","03","24",29
"2024","03","25",32
"2024","03","26",36
"2024","03","27",36
"2024","03","28",33
"2024","03","29",34
"2024","03","30",32
"2024","03","31",35
"2024","04","01",34
"2024","04","02",33
"2024","04","03",35
"2024","04","04",35
"2024","04","05",35
"2024","04","06",35
"2024","04","07",34
"2024","04","08",32
"2024","04","09",35
"2024","04","10",35
"2024","04","11",32
"2024","04","12",33
"2024","04","13",35
"2024","04","14",35
"2024","04","15",35
"2024","04","16",36
"2024","04","17",36
"2024","04","18",36
"2024","04","19",36
"2024","04","20",36
"2024","04","21",36
"2024","04","22",35
"2024","04","23",37
