"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",29
"2024","01","02",27
"2024","01","03",29
"2024","01","04",26
"2024","01","05",26
"2024","01","06",27
"2024","01","07",26
"2024","01","08",24
"2024","01","09",28
"2024","01","10",31
"2024","01","11",26
"2024","01","12",27
"2024","01","13",26
"2024","01","14",26
"2024","01","15",24
"2024","01","16",24
"2024","01","17",26
"2024","01","18",26
"2024","01","19",28
"2024","01","20",28
"2024","01","21",28
"2024","01","22",26
"2024","01","23",28
"2024","01","24",24
"2024","01","25",24
"2024","01","26",24
"2024","01","27",24
"2024","01","28",25
"2024","01","29",24
"2024","01","30",26
"2024","01","31",26
"2024","02","01",27
"2024","02","02",29
"2024","02","03",29
"2024","02","04",30
"2024","02","05",28
"2024","02","06",28
"2024","02","07",29
"2024","02","08",30
"2024","02","09",30
"2024","02","10",27
"2024","02","11",25
"2024","02","12",24
"2024","02","13",25
"2024","02","14",26
"2024","02","15",29
"2024","02","16",28
"2024","02","17",27
"2024","02","18",26
"2024","02","19",28
"2024","02","20",29
"2024","02","21",29
"2024","02","22",26
"2024","02","23",29
"2024","02","24",29
"2024","02","25",25
"2024","02","26",26
"2024","02","27",27
"2024","02","28",27
"2024","02","29",29
"2024","03","01",29
"2024","03","02",28
"2024","03","03",28
"2024","03","04",28
"2024","03","05",29
"2024","03","06",31
"2024","03","07",30
"2024","03","08",30
"2024","03","09",27
"2024","03","10",26
"2024","03","11",25
"2024","03","12",30
"2024","03","13",29
"2024","03","14",26
"2024","03","15",29
"2024","03","16",30
"2024","03","17",29
"2024","03","18",26
"2024","03","19",29
"2024","03","20",27
"2024","03","21",26
"2024","03","22",26
"2024","03","23",28
"2024","03","24",30
"2024","03","25",29
"2024","03","26",30
"2024","03","27",33
"2024","03","28",34
"2024","03","29",34
"2024","03","30",32
"2024","03","31",31
"2024","04","01",31
"2024","04","02",32
"2024","04","03",32
"2024","04","04",33
"2024","04","05",32
"2024","04","06",32
"2024","04","07",33
"2024","04","08",30
"2024","04","09",32
"2024","04","10",32
"2024","04","11",32
"2024","04","12",33
"2024","04","13",33
"2024","04","14",34
"2024","04","15",32
"2024","04","16",32
"2024","04","17",33
"2024","04","18",33
"2024","04","19",33
"2024","04","20",34
"2024","04","21",33
"2024","04","22",33
"2024","04","23",34
