"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",26
"2024","01","02",27
"2024","01","03",26
"2024","01","04",24
"2024","01","05",26
"2024","01","06",25
"2024","01","07",25
"2024","01","08",25
"2024","01","09",29
"2024","01","10",26
"2024","01","11",23
"2024","01","12",23
"2024","01","13",23
"2024","01","14",22
"2024","01","15",23
"2024","01","16",23
"2024","01","17",22
"2024","01","18",25
"2024","01","19",27
"2024","01","20",27
"2024","01","21",27
"2024","01","22",24
"2024","01","23",23
"2024","01","24",22
"2024","01","25",22
"2024","01","26",22
"2024","01","27",22
"2024","01","28",24
"2024","01","29",23
"2024","01","30",24
"2024","01","31",25
"2024","02","01",27
"2024","02","02",28
"2024","02","03",28
"2024","02","04",28
"2024","02","05",29
"2024","02","06",28
"2024","02","07",27
"2024","02","08",27
"2024","02","09",26
"2024","02","10",24
"2024","02","11",23
"2024","02","12",22
"2024","02","13",25
"2024","02","14",27
"2024","02","15",28
"2024","02","16",27
"2024","02","17",28
"2024","02","18",28
"2024","02","19",28
"2024","02","20",28
"2024","02","21",28
"2024","02","22",29
"2024","02","23",28
"2024","02","24",28
"2024","02","25",27
"2024","02","26",26
"2024","02","27",25
"2024","02","28",25
"2024","02","29",28
"2024","03","01",28
"2024","03","02",26
"2024","03","03",25
"2024","03","04",31
"2024","03","05",34
"2024","03","06",32
"2024","03","07",31
"2024","03","08",27
"2024","03","09",27
"2024","03","10",27
"2024","03","11",30
"2024","03","12",30
"2024","03","13",26
"2024","03","14",30
"2024","03","15",32
"2024","03","16",32
"2024","03","17",31
"2024","03","18",31
"2024","03","19",30
"2024","03","20",27
"2024","03","21",27
"2024","03","22",30
"2024","03","23",31
"2024","03","24",33
"2024","03","25",33
"2024","03","26",33
"2024","03","27",31
"2024","03","28",35
"2024","03","29",36
"2024","03","30",35
"2024","03","31",34
"2024","04","01",34
"2024","04","02",34
"2024","04","03",34
"2024","04","04",36
"2024","04","05",34
"2024","04","06",35
"2024","04","07",36
"2024","04","08",36
"2024","04","09",35
"2024","04","10",34
"2024","04","11",35
"2024","04","12",35
"2024","04","13",36
"2024","04","14",36
"2024","04","15",37
"2024","04","16",36
"2024","04","17",36
"2024","04","18",35
"2024","04","19",36
"2024","04","20",35
"2024","04","21",35
"2024","04","22",35
"2024","04","23",38
