"Year","Month","Day","Average Heat Index ?C"
"2024","01","01","31"
"2024","01","02","31"
"2024","01","03","31"
"2024","01","04","30"
"2024","01","05","31"
"2024","01","06","31"
"2024","01","07","32"
"2024","01","08","29"
"2024","01","09","32"
"2024","01","10","29"
"2024","01","11","27"
"2024","01","12","28"
"2024","01","13","29"
"2024","01","14","30"
"2024","01","15","28"
"2024","01","16","28"
"2024","01","17","28"
"2024","01","18","29"
"2024","01","19","29"
"2024","01","20","29"
"2024","01","21","28"
"2024","01","22","29"
"2024","01","23","30"
"2024","01","24","28"
"2024","01","25","26"
"2024","01","26","25"
"2024","01","27","26"
"2024","01","28","27"
"2024","01","29","27"
"2024","01","30","29"
"2024","01","31","29"
"2024","02","01","29"
"2024","02","02","30"
"2024","02","03","29"
"2024","02","04","30"
"2024","02","05","31"
"2024","02","06","30"
"2024","02","07","29"
"2024","02","08","31"
"2024","02","09","28"
"2024","02","10","29"
"2024","02","11","29"
"2024","02","12","28"
"2024","02","13","29"
"2024","02","14","29"
"2024","02","15","29"
"2024","02","16","29"
"2024","02","17","30"
"2024","02","18","29"
"2024","02","19","29"
"2024","02","20","31"
"2024","02","21","31"
"2024","02","22","30"
"2024","02","23","30"
"2024","02","24","30"
"2024","02","25","29"
"2024","02","26","30"
"2024","02","27","30"
"2024","02","28","31"
"2024","02","29","32"
"2024","03","01","31"
"2024","03","02","30"
"2024","03","03","28"
"2024","03","04","30"
"2024","03","05","31"
"2024","03","06","32"
"2024","03","07","30"
"2024","03","08","30"
"2024","03","09","32"
"2024","03","10","28"
"2024","03","11","28"
"2024","03","12","30"
"2024","03","13","31"
"2024","03","14","30"
"2024","03","15","32"
"2024","03","16","-999"
"2024","03","17","-999"
"2024","03","18","-999"
"2024","03","19","-999"
"2024","03","20","-999"
"2024","03","21","-999"
"2024","03","22","-999"
"2024","03","23","-999"
"2024","03","24","-999"
"2024","03","25","-999"
"2024","03","26","-999"
"2024","03","27","-999"
"2024","03","28","-999"
"2024","03","29","-999"
"2024","03","30","-999"
"2024","03","31","-999"
"2024","04","01","34"
"2024","04","02","34"
"2024","04","03","33"
"2024","04","04","35"
"2024","04","05","34"
"2024","04","06","34"
"2024","04","07","32"
"2024","04","08","33"
"2024","04","09","33"
"2024","04","10","33"
"2024","04","11","33"
"2024","04","12","31"
"2024","04","13","33"
"2024","04","14","34"
"2024","04","15","34"
"2024","04","16","33"
"2024","04","17","35"
"2024","04","18","33"
"2024","04","19","34"
"2024","04","20","35"
"2024","04","21","35"
"2024","04","22","38"
"2024","04","23","38"
