"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",34
"2024","01","02",27
"2024","01","03",33
"2024","01","04",31
"2024","01","05",32
"2024","01","06",33
"2024","01","07",34
"2024","01","08",34
"2024","01","09",33
"2024","01","10",33
"2024","01","11",34
"2024","01","12",34
"2024","01","13",34
"2024","01","14",33
"2024","01","15",33
"2024","01","16",32
"2024","01","17",32
"2024","01","18",32
"2024","01","19",35
"2024","01","20",33
"2024","01","21",32
"2024","01","22",33
"2024","01","23",32
"2024","01","24",33
"2024","01","25",32
"2024","01","26",30
"2024","01","27",29
"2024","01","28",30
"2024","01","29",30
"2024","01","30",32
"2024","01","31",33
"2024","02","01",32
"2024","02","02",32
"2024","02","03",34
"2024","02","04",34
"2024","02","05",32
"2024","02","06",31
"2024","02","07",32
"2024","02","08",33
"2024","02","09",32
"2024","02","10",33
"2024","02","11",31
"2024","02","12",32
"2024","02","13",32
"2024","02","14",33
"2024","02","15",31
"2024","02","16",33
"2024","02","17",33
"2024","02","18",33
"2024","02","19",33
"2024","02","20",33
"2024","02","21",34
"2024","02","22",33
"2024","02","23",34
"2024","02","24",33
"2024","02","25",33
"2024","02","26",33
"2024","02","27",32
"2024","02","28",32
"2024","02","29",34
"2024","03","01",34
"2024","03","02",33
"2024","03","03",33
"2024","03","04",33
"2024","03","05",34
"2024","03","06",35
"2024","03","07",35
"2024","03","08",33
"2024","03","09",32
"2024","03","10",34
"2024","03","11",31
"2024","03","12",34
"2024","03","13",35
"2024","03","14",33
"2024","03","15",34
"2024","03","16",34
"2024","03","17",33
"2024","03","18",32
"2024","03","19",32
"2024","03","20",33
"2024","03","21",34
"2024","03","22",34
"2024","03","23",34
"2024","03","24",35
"2024","03","25",35
"2024","03","26",35
"2024","03","27",36
"2024","03","28",36
"2024","03","29",35
"2024","03","30",34
"2024","03","31",36
"2024","04","01",34
"2024","04","02",36
"2024","04","03",36
"2024","04","04",35
"2024","04","05",36
"2024","04","06",34
"2024","04","07",35
"2024","04","08",35
"2024","04","09",36
"2024","04","10",35
"2024","04","11",33
"2024","04","12",35
"2024","04","13",37
"2024","04","14",35
"2024","04","15",36
"2024","04","16",35
"2024","04","17",34
"2024","04","18",34
"2024","04","19",36
"2024","04","20",35
"2024","04","21",38
"2024","04","22",39
"2024","04","23",36
